LocationID,BusinessName,Score,URL,Contact,Type,Category,Street,City,State,Zipcode,Country,Address,MapLink,SearchQuery
ABC+Select+Spirits,ABC Select Spirits,4.6,http://alabcboard.gov/,1 205-798-7114,Liquor store,Retail,2492  Palomino Ln,Adamsville,AL,35214,United States,"2492  Palomino Ln, Birmingham, AL 35214, United States",https://www.google.com/maps/place/ABC+Select+Spirits/data=!4m7!3m6!1s0x8888fd75920fb50b:0x2bf3cfc4bae9f744!8m2!3d33.5819348!4d-86.9204285!16s%2Fg%2F11fjvzvd5t!19sChIJC7UPknX9iIgRRPfpusTP8ys?authuser=0&hl=en&rclk=1,"liquor store in Adamsville, AL"
Adamsville+One+Stop,Adamsville One Stop,4.6,,1 205-674-7932,Convenience store,Retail,3625  Gray Ave,Adamsville,AL,35005,United States,"3625  Gray Ave, Adamsville, AL 35005, United States",https://www.google.com/maps/place/Adamsville+One+Stop/data=!4m7!3m6!1s0x8888fd2f4aa8bfc7:0x9e46cb1979423a7!8m2!3d33.589669!4d-86.9374126!16s%2Fg%2F1tjv48jz!19sChIJx7-oSi_9iIgRpyOUl7Fs5Ak?authuser=0&hl=en&rclk=1,"liquor store in Adamsville, AL"
Mr.+Spirits,Mr. Spirits,4.2,,1 205-798-7078,Liquor store,Retail,1508  Forestdale Blvd,Adamsville,AL,35214,United States,"1508  Forestdale Blvd, Birmingham, AL 35214, United States",https://www.google.com/maps/place/Mr.+Spirits/data=!4m7!3m6!1s0x88891d59f54148c1:0x4dd9d2238c50183a!8m2!3d33.5663186!4d-86.8973891!16s%2Fg%2F11bz_10ck5!19sChIJwUhB9VkdiYgROhhQjCPS2U0?authuser=0&hl=en&rclk=1,"liquor store in Adamsville, AL"
Dee%27s+Alabama+Beverage+Co,Dee's Alabama Beverage Co,4.3,,1 205-322-3333,Liquor store,Retail,2398  Green Springs Hwy,Adamsville,AL,35205,United States,"2398  Green Springs Hwy, Birmingham, AL 35205, United States",https://www.google.com/maps/place/Dee%27s+Alabama+Beverage+Co/data=!4m7!3m6!1s0x88891eadeade32c5:0x9a7ae12a494c1f61!8m2!3d33.4775222!4d-86.8260461!16s%2Fg%2F1th7z37b!19sChIJxTLe6q0eiYgRYR9MSSrhepo?authuser=0&hl=en&rclk=1,"liquor store in Adamsville, AL"
Adamsville+Marathon,Adamsville Marathon,3.0,,1 205-674-9753,Gas station,Services,5401  Veterans Memorial Dr,Adamsville,AL,35005,United States,"5401  Veterans Memorial Dr, Adamsville, AL 35005, United States",https://www.google.com/maps/place/Adamsville+Marathon/data=!4m7!3m6!1s0x8888fd18e7c761a7:0xf6990bd4e287f83!8m2!3d33.6066027!4d-86.9578252!16s%2Fg%2F11h_fqq5c6!19sChIJp2HH5xj9iIgRg38oTr2QaQ8?authuser=0&hl=en&rclk=1,"liquor store in Adamsville, AL"
Minor+Package,Minor Package,4.1,,1 205-867-5309,Liquor store,Retail,1486  Minor Pkwy,Adamsville,AL,35224,United States,"1486  Minor Pkwy, Birmingham, AL 35224, United States",https://www.google.com/maps/place/Minor+Package/data=!4m7!3m6!1s0x8888e2ebf58c7541:0xfbcd5e304cca8e07!8m2!3d33.5515978!4d-86.9263039!16s%2Fg%2F11bzt7xs03!19sChIJQXWM9eviiIgRB47KTDBezfs?authuser=0&hl=en&rclk=1,"liquor store in Adamsville, AL"
Classic+Wine+%26+Spirits,Classic Wine & Spirits,4.4,,1 205-731-0755,Liquor store,Retail,201  3rd Ave,Adamsville,AL,35204,United States,"201  3rd Ave, Birmingham, AL 35204, United States",https://www.google.com/maps/place/Classic+Wine+%26+Spirits/data=!4m7!3m6!1s0x88891c14462a157b:0x82466dda336d9f88!8m2!3d33.5061439!4d-86.83893!16s%2Fg%2F1vr3dygd!19sChIJexUqRhQciYgRiJ9tM9ptRoI?authuser=0&hl=en&rclk=1,"liquor store in Adamsville, AL"
Adamsville+Wine+%26+Spirits,Adamsville Wine & Spirits,4.8,,1 401-635-2109,Liquor store,Retail,81  Stone Church Rd,Adamsville,RI,02837,United States,"81  Stone Church Rd, Little Compton, RI 02837, United States",https://www.google.com/maps/place/Adamsville+Wine+%26+Spirits/data=!4m7!3m6!1s0x89e5010f424299af:0x9abfd406c6d03e1c!8m2!3d41.554712!4d-71.131987!16s%2Fg%2F1tjyvml_!19sChIJr5lCQg8B5YkRHD7QxgbUv5o?authuser=0&hl=en&rclk=1,"liquor store in Adamsville, AL"
ABC+SELECT+SPIRITS,ABC SELECT SPIRITS,4.6,http://www.alabcboard.gov/,1 205-781-9420,State liquor store,Other,2116  Bessemer Rd,Adamsville,AL,35208,United States,"2116  Bessemer Rd, Birmingham, AL 35208, United States",https://www.google.com/maps/place/ABC+SELECT+SPIRITS/data=!4m7!3m6!1s0x88891dddd3c05405:0x32637eb8618ac0f4!8m2!3d33.4949205!4d-86.8800816!16s%2Fg%2F1thght2d!19sChIJBVTA090diYgR9MCKYbh-YzI?authuser=0&hl=en&rclk=1,"liquor store in Adamsville, AL"
ABC+Select+Spirits,ABC Select Spirits,4.6,http://www.alabcboard.gov/,1 205-808-9815,State liquor store,Other,1727  Decatur Hwy Suite B,Adamsville,AL,35068,United States,"1727  Decatur Hwy Suite B, Fultondale, AL 35068, United States",https://www.google.com/maps/place/ABC+Select+Spirits/data=!4m7!3m6!1s0x888904f46931f579:0xd974a12b6cbf6fd1!8m2!3d33.6136796!4d-86.7967164!16s%2Fg%2F1tdm92k8!19sChIJefUxafQEiYgR0W-_bCuhdNk?authuser=0&hl=en&rclk=1,"liquor store in Adamsville, AL"
