LocationID,BusinessName,Score,URL,Contact,Type,Category,Street,City,State,Zipcode,Country,Address,MapLink,SearchQuery
Bayside+Marketplace,Bayside Marketplace,4.5,https://baysidemarketplace.com/,1 305-577-3344,Shopping mall,Other,401  Biscayne Blvd,Miami,FL,33132,United States,"401  Biscayne Blvd, Miami, FL 33132, United States",https://www.google.com/maps/place/Bayside+Marketplace/data=!4m7!3m6!1s0x88d9b4206f1f80d9:0x87962a8eb8223143!8m2!3d25.7784025!4d-80.1867938!16s%2Fm%2F02pyv4d!19sChIJ2YAfbyC02YgRQzEiuI4qloc?authuser=0&hl=en&rclk=1,"mall in Miami, FL"
Dolphin+Mall,Dolphin Mall,4.6,https://www.shopdolphinmall.com/?utm_source=GoogleMyBusiness&utm_medium=Organic&utm_campaign=GMB,1 305-365-7446,Shopping mall,Other,11401 NW 12th St,Miami,FL,33172,United States,"11401 NW 12th St, Miami, FL 33172, United States",https://www.google.com/maps/place/Dolphin+Mall/data=!4m7!3m6!1s0x88d9bec6830371a3:0x1be2585e29f8be60!8m2!3d25.7877778!4d-80.3805556!16s%2Fm%2F02vxb5r!19sChIJo3EDg8a-2YgRYL74KV5Y4hs?authuser=0&hl=en&rclk=1,"mall in Miami, FL"
The+Shops+at+Midtown+Miami,The Shops at Midtown Miami,4.5,,,Shopping mall,Other,3401 N Miami Ave,Miami,FL,33127,United States,"3401 N Miami Ave, Miami, FL 33127, United States",https://www.google.com/maps/place/The+Shops+at+Midtown+Miami/data=!4m7!3m6!1s0x88d9b151513ebf37:0x6e992144bd473bad!8m2!3d25.8065555!4d-80.1942113!16s%2Fg%2F12cnx7x7b!19sChIJN78-UVGx2YgRrTtHvUQhmW4?authuser=0&hl=en&rclk=1,"mall in Miami, FL"
Midway+Crossings,Midway Crossings,3.9,,1 305-261-1869,Shopping mall,Other,7795 W Flagler St,Miami,FL,33144,United States,"7795 W Flagler St, Miami, FL 33144, United States",https://www.google.com/maps/place/Midway+Crossings/data=!4m7!3m6!1s0x88d9b91e643627fd:0x4de0facdbf3c103d!8m2!3d25.7737096!4d-80.3219043!16s%2Fm%2F06wb3d0!19sChIJ_Sc2ZB652YgRPRA8v8364E0?authuser=0&hl=en&rclk=1,"mall in Miami, FL"
Mall+of+The+Americas,Mall of The Americas,4.3,,,Shopping mall,Other,7795 W Flagler St Unit M53,Miami,FL,33144,United States,"7795 W Flagler St Unit M53, Miami, FL 33144, United States",https://www.google.com/maps/place/Mall+of+The+Americas/data=!4m7!3m6!1s0x88d9c7a3176267fb:0x3d8c56f6106caa44!8m2!3d25.7737452!4d-80.3224812!16s%2Fg%2F11cn16r4dx!19sChIJ-2diF6PH2YgRRKpsEPZWjD0?authuser=0&hl=en&rclk=1,"mall in Miami, FL"
Mary+Brickell+Village,Mary Brickell Village,4.5,http://www.marybrickellvillage.com/,1 305-564-4443,Shopping mall,Other,901 S Miami Ave,Miami,FL,33130,United States,"901 S Miami Ave, Miami, FL 33130, United States",https://www.google.com/maps/place/Mary+Brickell+Village/data=!4m7!3m6!1s0x88d9b68440af65cf:0xe7e613a95192a820!8m2!3d25.765!4d-80.1938889!16s%2Fm%2F04g0rhs!19sChIJz2WvQIS22YgRIKiSUakT5uc?authuser=0&hl=en&rclk=1,"mall in Miami, FL"
Dadeland+Mall,Dadeland Mall,4.6,https://www.simon.com/mall/dadeland-mall,1 305-665-6226,Shopping mall,Other,7535 N Kendall Dr,Miami,FL,33156,United States,"7535 N Kendall Dr, Miami, FL 33156, United States",https://www.google.com/maps/place/Dadeland+Mall/data=!4m7!3m6!1s0x88d9c7a313cb7acd:0x1cc60c3844fa1968!8m2!3d25.6905453!4d-80.3124946!16zL20vMGJ0eTdx!19sChIJzXrLE6PH2YgRaBn6RDgMxhw?authuser=0&hl=en&rclk=1,"mall in Miami, FL"
Ocean+Mall,Ocean Mall,4.7,,,Shopping mall,Other,4700 NW 7th St,Miami,FL,33126,United States,"4700 NW 7th St, Miami, FL 33126, United States",https://www.google.com/maps/place/Ocean+Mall/data=!4m7!3m6!1s0x88d9b763956a5cf1:0x20c19e6e654d39ad!8m2!3d25.77842!4d-80.2724783!16s%2Fg%2F11h81mk756!19sChIJ8VxqlWO32YgRrTlNZW6ewSA?authuser=0&hl=en&rclk=1,"mall in Miami, FL"
Mall+at+163rd+Street,Mall at 163rd Street,3.9,,1 610-215-7939,Shopping mall,Other,1205 NE 163rd St,Miami,FL,33162,United States,"1205 NE 163rd St, Miami, FL 33162, United States",https://www.google.com/maps/place/Mall+at+163rd+Street/data=!4m7!3m6!1s0x88d9adb8c01e713d:0xaaa2d200115ac64d!8m2!3d25.9258853!4d-80.1754811!16s%2Fm%2F027_9xl!19sChIJPXEewLit2YgRTcZaEQDSoqo?authuser=0&hl=en&rclk=1,"mall in Miami, FL"
The+Falls,The Falls,4.6,https://www.simon.com/mall/the-falls,1 305-255-4570,Shopping mall,Other,8888 SW 136th St,Miami,FL,33176,United States,"8888 SW 136th St, Miami, FL 33176, United States",https://www.google.com/maps/place/The+Falls/data=!4m7!3m6!1s0x88d9c6941461786f:0x5c2b6c29d1f5ef05!8m2!3d25.6447287!4d-80.3383436!16zL20vMGNka3Rm!19sChIJb3hhFJTG2YgRBe_10SlsK1w?authuser=0&hl=en&rclk=1,"mall in Miami, FL"
